,p,Tolerance,VIF
const,0.0,0.0,0.0
TOTSQFT,0.0,0.853,1.173
DOLLARNG,0.0,0.762,1.312
HDD50,0.0,0.805,1.241
OA_LAT,0.0,0.915,1.093
