,p,Tolerance,VIF
const,0.206,0.0,0.0
HDD65,0.0,0.027,36.888
CDD65,0.0,0.086,11.6
TOTSQFT,0.0,0.842,1.188
DOLLARNG,0.0,0.734,1.363
HDD50,0.0,0.039,25.556
CDD80,0.0,0.195,5.124
WSF,0.0,0.413,2.42
OA_LAT,0.0,0.468,2.138
