,p,Tolerance,VIF
const,0.016,0.0,0.0
CDD65,0.0,0.109,9.213
TOTSQFT,0.0,0.751,1.332
DOLLAREL,0.0,0.697,1.435
HDD50,0.0,0.359,2.782
CDD80,0.0,0.202,4.946
WSF,0.065,0.47,2.129
OA_LAT,0.088,0.478,2.093
