DOEID,REGIONC,DIVISION,REPORTABLE_DOMAIN,HDD65,CDD65,TOTSQFT,Y1_BTUEL,DOLLAREL,Y2_BTUNG,DOLLARNG,HDD50,CDD80,WSF,OA_LAT
7546,3,5,15,3088,1697,1308,22014,719,42025,652,850,0,.46,8
7550,4,10,26,2403,2004,2401,22666,683,47560,392,333,153,.41,0
7551,2,4,11,5992,839,2538,22935,1542,89995,997,3065,0,.55,4
7552,3,5,17,61,4977,1976,97443,3651,22038,520,0,514,.41,29
7553,4,8,23,5992,739,2412,26648,743,59758,528,2979,0,.55,0
7554,2,3,8,6714,384,2800,13375,498,90098,991,3361,0,.55,3
7555,2,3,6,5738,732,3305,37181,1387,213918,2077,2609,1,.55,2
7556,1,2,5,4325,1311,2303,27084,1266,190035,2700,1810,29,.48,6
7558,1,2,3,7198,293,3435,32670,1371,81180,1037,3123,13,.54,3
7560,3,5,17,631,3773,1760,130253,4619,6663,131,65,467,.38,23
7561,2,4,12,5168,1012,4599,52227,1207,111315,1342,2121,32,.46,5
7562,3,5,17,1227,2718,1960,28480,1152,31775,524,213,134,.39,18
7563,4,10,26,2952,2143,800,17435,753,101885,1016,669,296,.6,0
7564,4,10,26,1110,661,889,12706,490,42435,487,0,58,.38,0
7565,3,7,21,2277,2412,1219,19592,711,39565,431,551,383,.53,6
7569,2,3,7,6102,511,2081,7227,288,115108,1134,2956,11,.62,2
7570,2,4,11,4730,1346,3024,34731,1146,103628,1142,2305,6,.5,5
7571,4,10,26,1186,1240,1865,27760,1492,15375,176,15,33,.34,1
7572,3,5,14,5210,870,1830,18868,596,7380,204,1860,2,.45,4
7574,4,10,26,1138,1574,1908,19718,568,47458,371,1,73,.42,1
7575,4,10,26,850,1354,1066,15269,574,33312,342,0,61,.35,0
7576,2,4,10,8346,360,1141,17104,629,65395,574,4924,26,.6,1
7581,2,4,10,7483,660,2974,28009,1022,85075,777,4264,0,.62,0
7582,2,4,11,6836,532,1522,14907,426,135608,1397,3510,3,.66,0
7583,2,4,10,9150,221,2308,12256,457,96453,864,5492,0,.59,1
7585,2,4,11,6378,820,2274,22106,689,91635,617,3161,65,.52,2
7586,1,2,5,6058,472,2639,63187,1598,118080,1637,2084,0,.46,2
7588,2,4,10,7341,407,2979,50928,2344,82000,786,3937,0,.55,3
7589,3,5,14,4972,1043,4475,44598,1332,108548,1405,2032,61,.44,3
7590,1,2,3,6635,442,3051,54858,2275,68470,913,3216,0,.61,2
7591,4,10,26,1107,664,1730,12662,496,22858,242,2,88,.4,0
7595,3,7,21,544,4027,2980,80421,3246,20910,282,57,775,.54,21
7596,4,10,26,1244,757,864,4422,191,49303,502,0,0,.39,1
7597,1,1,2,6342,467,978,21990,1074,63755,923,2838,3,.52,3
7598,2,4,11,6623,688,1920,38283,1095,52378,363,3359,8,.5,3
7600,1,2,3,6861,298,3053,20626,697,84870,1096,3287,0,.57,2
7601,3,5,16,3364,1730,3700,55749,1699,75235,972,1359,28,.42,5
7604,2,3,6,5587,867,2268,3450,114,133250,1383,2722,9,.55,5
7605,4,10,26,2326,2050,848,20325,534,32698,283,375,231,.52,0
7606,3,7,20,4404,1283,1047,56632,1295,73800,643,1627,134,.54,7
7607,1,2,3,6615,443,2486,34714,1441,104653,1237,3245,7,.56,3
7609,2,3,9,7144,610,2625,20704,728,42845,440,3896,23,.58,2
7612,1,1,1,5629,663,9600,43588,2927,382120,4400,2577,2,.51,3
7613,3,5,15,3294,1627,1120,27501,817,59143,565,782,15,.46,8
7615,2,3,6,7282,346,2787,27446,1017,106600,925,3807,40,.6,2
7616,2,3,8,7632,230,1291,23120,798,124128,1336,3862,0,.61,1
7617,2,4,12,5313,956,2249,24976,657,70315,1012,2392,36,.53,5
7619,3,6,19,3312,1828,6192,92694,2378,94198,941,1094,127,.47,11
7620,4,8,22,5718,701,2964,29149,876,106293,863,2362,4,.59,0
7621,4,9,25,1841,3886,3199,48078,1802,44998,571,273,1261,.53,0
7622,3,5,13,4523,1228,888,21414,769,41923,731,1732,49,.46,5
7624,4,10,26,885,1350,831,8496,339,4203,81,23,13,.38,1
7626,1,1,2,5894,603,4734,14177,826,127305,1848,2724,0,.66,3
7631,4,10,26,2480,209,443,4456,151,25010,255,94,10,.59,0
7632,1,2,3,6603,450,7880,41889,1068,165025,2069,3118,12,.61,3
7633,4,10,27,4818,208,912,8540,309,37413,551,1350,0,.6,1
7634,1,1,2,6402,429,1857,5295,348,8507,200,2623,50,.52,4
7635,4,10,26,1273,1205,2101,36624,2416,47560,555,7,25,.4,1
7639,2,4,10,7074,406,1380,17684,752,66113,558,3634,5,.56,2
7640,4,9,24,1021,4446,2392,32861,1360,28290,522,77,1502,.45,0
7642,1,2,3,4939,865,3000,39323,2353,51558,752,2105,0,.57,5
7643,3,7,20,1090,3424,2053,40712,1276,49200,687,150,578,.47,20
7645,4,10,26,1826,1717,3836,46553,2669,87330,819,62,78,.44,0
