,p,Tolerance,VIF
const,0.0,0.0,0.0
CDD65,0.0,0.108,9.269
TOTSQFT,0.0,0.842,1.187
DOLLARNG,0.0,0.749,1.334
HDD50,0.0,0.355,2.818
CDD80,0.0,0.204,4.914
WSF,0.0,0.468,2.137
OA_LAT,0.0,0.482,2.075
