,p,Tolerance,VIF
const,0.63,0.0,0.0
TOTSQFT,0.0,0.844,1.185
DOLLARNG,0.0,0.759,1.318
HDD50,0.0,0.489,2.045
WSF,0.254,0.492,2.033
OA_LAT,0.0,0.864,1.158
