,p,Tolerance,VIF
const,0.633,0.0,0.0
TOTSQFT,0.0,0.842,1.187
DOLLARNG,0.0,0.754,1.326
HDD50,0.0,0.429,2.331
CDD80,0.787,0.776,1.289
WSF,0.244,0.483,2.071
OA_LAT,0.0,0.83,1.205
