,p,Tolerance,VIF
const,0.001,0.0,0.0
TOTSQFT,0.0,0.751,1.331
DOLLAREL,0.0,0.697,1.435
HDD50,0.0,0.441,2.27
CDD80,0.0,0.754,1.325
WSF,0.0,0.486,2.059
OA_LAT,0.0,0.803,1.245
